identifier,full_link,title,weight,axis
coin-1201,https://catalog.princeton.edu/catalog/coin-1201,Guang Xu 光緒 (1875 to 1908),2.8,
coin-12010,https://catalog.princeton.edu/catalog/coin-12010,Coin 12010,,
coin-12011,https://catalog.princeton.edu/catalog/coin-12011,Coin 12011,,
coin-12012,https://catalog.princeton.edu/catalog/coin-12012,Coin 12012,,
coin-12013,https://catalog.princeton.edu/catalog/coin-12013,Coin 12013,,
coin-12014,https://catalog.princeton.edu/catalog/coin-12014,Coin 12014,,
coin-12015,https://catalog.princeton.edu/catalog/coin-12015,Coin 12015,,
coin-12016,https://catalog.princeton.edu/catalog/coin-12016,Coin 12016,,
coin-12017,https://catalog.princeton.edu/catalog/coin-12017,Coin 12017,,
coin-12018,https://catalog.princeton.edu/catalog/coin-12018,Coin 12018,,
coin-12019,https://catalog.princeton.edu/catalog/coin-12019,Coin 12019,,
coin-1202,https://catalog.princeton.edu/catalog/coin-1202,"as, Rome",9.19,6
coin-12020,https://catalog.princeton.edu/catalog/coin-12020,Coin 12020,,
coin-12021,https://catalog.princeton.edu/catalog/coin-12021,Coin 12021,,
coin-12022,https://catalog.princeton.edu/catalog/coin-12022,Coin 12022,,
coin-12023,https://catalog.princeton.edu/catalog/coin-12023,Coin 12023,,
coin-12024,https://catalog.princeton.edu/catalog/coin-12024,Coin 12024,,
coin-12025,https://catalog.princeton.edu/catalog/coin-12025,Coin 12025,,
coin-12026,https://catalog.princeton.edu/catalog/coin-12026,Coin 12026,,
coin-12027,https://catalog.princeton.edu/catalog/coin-12027,Coin 12027,,
coin-12028,https://catalog.princeton.edu/catalog/coin-12028,Coin 12028,,
coin-12029,https://catalog.princeton.edu/catalog/coin-12029,Coin 12029,,
coin-1203,https://catalog.princeton.edu/catalog/coin-1203,"dupondius, Rome",14.48,6
coin-12030,https://catalog.princeton.edu/catalog/coin-12030,Coin 12030,,
coin-12031,https://catalog.princeton.edu/catalog/coin-12031,Coin 12031,,
